标题长度	链接	视频	图片	艾特	时间	话题	星期	min_min 	min_max	min_mean	max_min	max_max	max_mean	mean_min	mean_max	mean_mean	popular
17	0	0	2	0	879	0	5	420	5414	1928	3053	29363	10964	5414	5414	5414	1
18	0	0	1	0	852	1	5	156	7548	970	3447	3447	3447	180	26335	2301	0
12	0	0	2	0	834	0	5	1449	1449	1449	1308	5875	3085	1449	1449	1449	0
17	0	0	1	0	807	0	5	210	876	485	200	12888	2728	281	5714	996	0
14	0	0	1	0	783	1	5	180	911	497	180	18367	2049	180	10893	1399	0
22	0	0	1	0	846	0	4	853	853	426	2404	2404	2404	333	2656	1127	0
19	0	0	9	0	824	0	4	283	9397	1928	306	40832	3493	492	7441	3006	0
15	0	0	1	0	798	1	4	285	4285	942	212	37189	3000	216	7293	1564	0
16	0	0	9	1	775	0	4	468	468	468	200	11685	1688	154	6361	1570	0
19	0	0	9	0	742	0	4	189	1286	555	162	27756	2333	287	7142	1421	0
19	0	0	2	0	710	0	4	1491	1491	1491	385	40260	5691	52	26198	1943	1
15	0	0	2	0	663	0	4	587	587	587	172	6036	1678	587	1552	1069	0
20	0	0	9	0	640	1	4	532	532	532	6965	6965	6965	514	6242	2499	0
15	0	0	9	0	632	0	4	1563	1563	1563	462	9480	2166	578	5469	1586	0
21	0	0	2	0	602	0	4	458	458	458	151	268284	5134	2075	2846	2460	0
21	0	0	1	0	591	0	4	396	396	396	396	5523	1889	391	1898	1056	0
12	0	0	9	0	561	1	4	201	6302	888	143	26335	2234	163	14665	1388	1
19	0	0	0	0	533	0	4	201	7601	1228	201	104171	3255	147	37189	2347	0
18	0	0	5	0	717	0	3	170	3263	863	395	17898	5052	154	17742	2974	0
25	0	0	1	0	685	0	3	189	1384	636	162	27756	2333	65	17411	1466	1
13	0	0	9	0	664	0	3	388	2733	1394	400	13347	2860	1818	2733	2247	1
20	0	1	0	0	638	0	3	188	6766	1522	380	15961	3455	201	25100	2495	0
15	0	0	2	0	633	0	3	346	27200	3015	244	104171	4721	2668	6990	4300	1
14	0	0	9	0	605	1	3	554	4374	1920	191	65209	4491	4374	4374	4374	1
27	0	0	0	0	583	1	3	308	1751	768	142	268284	3428	621	6964	1582	0
22	0	0	6	0	578	0	3	737	737	737	469	11991	3268	292	1486	839	0
17	0	0	2	0	553	0	3	479	1845	959	329	34265	3570	382	7394	3127	0
21	0	0	0	0	527	1	3	147	2054	632	140	48620	2448	742	6242	2228	0
16	0	0	9	0	494	0	3	735	1066	900	198	14532	2788	624	2859	1421	1
20	0	0	9	0	460	0	3	154	10149	1011	306	40832	3493	462	9480	2166	1
7	0	0	0	0	444	1	3	180	5351	1622	365	20269	3552	265	15521	2408	0
9	0	0	9	0	440	1	3	27200	27200	27200	27200	27200	27200	27200	27200	27200	1
9	1	0	1	0	420	1	3	208	23474	3333	402	33997	4407	283	29363	3883	0
31	0	0	0	1	840	0	2	249	1688	522	242	140765	3975	201	7601	1228	0
15	0	0	1	0	817	1	2	242	6564	1001	302	7293	3447	1340	2056	1698	0
17	0	0	1	0	812	0	2	447	7153	2546	591	23474	8998	208	23474	3333	1
15	0	0	4	0	791	1	2	308	5204	1558	257	20593	5007	143	26335	2234	0
23	0	0	1	0	778	0	2	483	483	483	106	268284	4215	853	1144	998	0
28	0	0	1	0	760	0	2	387	478	432	446	10059	5252	1532	1532	1532	0
26	0	0	2	0	738	0	2	878	895	886	878	15074	4675	247	15074	1691	0
24	0	0	9	0	717	0	2	243	751	428	113	268284	3615	201	9816	1620	0
24	1	0	2	0	682	1	2	236	8519	1830	310	27756	5997	201	63557	3080	1
7	0	0	1	0	658	1	2	554	4374	1920	147	37189	2347	147	37189	2347	1
11	0	0	2	0	636	1	2	188	33997	2536	993	11991	4342	732	18916	3775	0
20	0	0	1	0	613	0	2	320	5313	1070	5313	5313	5313	369	5313	1768	1
6	0	0	9	0	604	1	2	559	1797	1176	1348	1348	1348	1348	1348	1348	0
17	0	0	9	0	578	1	2	270	337	303	212	37189	2970	212	8804	1081	0
6	1	0	2	0	561	1	2	617	11179	4318	617	11179	4318	617	11179	4318	1
14	0	0	4	0	875	1	1	324	3880	1289	5109	5109	5109	201	104171	3255	0
18	1	0	9	0	849	1	1	498	5341	1343	252	34170	3989	264	20725	3201	0
15	0	0	1	0	824	0	1	518	1509	1046	632	11925	2203	281	2129	1336	0
17	0	0	9	0	811	1	1	201	6302	888	140	48620	2448	261	2700	1640	0
21	0	0	9	0	775	0	1	92	6302	675	178	34265	3647	140	48620	2448	0
20	0	0	1	0	718	1	1	395	6074	1836	340	34170	5262	237	50105	2612	1
15	0	0	2	0	685	1	1	215	2396	766	187	34170	7459	336	10921	3021	0
20	0	0	9	0	647	1	1	92	6302	675	140	10103	2611	1717	1717	1717	0
8	0	0	9	0	624	0	1	559	1797	1176	1883	2336	2052	1883	2336	2052	0
16	0	0	9	0	590	0	1	162	2986	709	415	17239	3536	162	15812	1672	0
17	0	0	9	0	564	0	1	312	312	312	140	10103	2611	143	4208	1017	0
11	0	0	9	0	556	1	1	252	17869	2353	462	268284	9700	142	268284	3428	1
19	0	0	9	0	533	1	1	188	1004	569	140	8465	2493	289	6302	1649	0
18	0	0	9	0	832	1	0	295	26335	2501	16396	16396	16396	1479	8077	5146	1
26	0	0	2	0	797	1	0	147	2054	632	236	26148	3698	147	7964	1684	0
20	0	0	1	1	739	0	0	163	10934	2382	90	50971	7175	573	20383	5388	1
18	0	0	9	0	708	0	0	663	5816	2187	752	268284	25728	272	65209	6665	1
27	0	0	0	0	683	0	0	163	8573	1656	4237	7009	5623	306	40832	3493	1
24	0	0	2	0	664	0	0	265	3590	817	1118	22500	6303	1075	6344	2857	1
19	0	0	1	1	641	0	0	620	620	620	617	16396	4066	263	7208	1802	1
21	0	0	1	0	621	0	0	189	1286	555	162	31164	2115	162	5968	1000	0
11	0	0	9	0	601	1	0	236	7832	1699	897	6423	2866	2602	2661	2631	1
18	0	0	9	0	580	0	0	315	6364	1900	571	27200	5880	422	6364	3239	1
18	0	0	2	0	558	0	0	534	534	267	292	29363	2981	208	13347	1601	1
21	0	0	9	0	505	0	0	253	21036	2995	752	268284	25728	90	268284	5747	1
8	0	0	9	0	460	1	0	860	13566	3280	2142	11686	6825	517	37189	5384	1
15	0	0	1	0	776	1	6	874	1011	942	12289	12289	12289	280	10268	2327	1
22	0	0	9	0	759	0	6	1283	1283	1283	209	140765	5085	1014	7232	2612	0
24	0	0	9	0	733	0	6	215	855	439	244	19096	3791	184	5568	1361	0
31	0	0	1	1	711	0	6	393	466	429	402	9538	2726	222	2560	1193	0
31	0	0	4	0	702	0	6	622	622	622	113	268284	3615	249	4220	1322	0
25	0	0	2	0	683	1	6	374	1302	838	330	14938	3416	1302	2579	1940	0
18	1	0	6	0	661	1	6	355	7449	1367	5300	5300	5300	52	50105	4380	1
15	0	0	1	0	650	0	6	319	4915	1086	113	268284	3615	231	9529	1580	0
14	0	0	2	0	612	0	6	106	63557	1800	174	35427	3668	172	18839	2566	1
17	0	0	4	0	592	0	6	699	699	699	427	22500	4657	140	15900	3241	0
19	0	0	9	0	567	0	6	389	838	608	311	140765	8153	274	35427	2476	0
15	0	0	6	0	546	0	6	297	943	615	362	10059	2132	142	31164	1605	0
8	0	0	1	0	523	0	6	110	11708	1204	110	11708	1204	110	11708	1204	0
13	0	0	9	0	499	0	6	412	2140	1214	52	268284	3746	763	5469	1693	1
